author,first 3-gram,second 3-gram,third 3-gram,fourth 3-gram,fifth 3-gram
Nejc Dougan,fix loading project,loading project meta,project meta data,,
Vishnu Bharathi,deploy adds a,adds a book,generated site sparkles,,
Gary Ritchie,cleanup static html,static html for,html for accessibility,for accessibility valid,accessibility valid html
Gary,merge pull request,pull request 5942,request 5942 from,5942 from rstudiobugfixmischtmlcleanupa11y,from rstudiobugfixmischtmlcleanupa11y cleanup
TeaDrivenDev,f solve nucleotide,solve nucleotide count,nucleotide count exercise,,
santorregroza,fixed several issues,several issues with,issues with the,with the projects,the projects page
damienliccia,ajout réseaux sociaux,,,,
pcubillos,implemented pmopen function,pmopen function to,function to open,to open pdf,open pdf files
tony0408,json files updated,,,,
Ethan Hathaway,wip finish most,finish most fundamental,most fundamental types,,
Eddie.Cai,initial empty repository,,,,
Eddie Cai,signedoffby eddie cai,eddie cai eddiecailinuxgmailcom,initail commit move,commit move file,move file from
Zain Wang,signedoffby zain wang,zain wang wzzrockchipscom,s50usbdevice add chip,add chip serialnumber,chip serialnumber to
Jeffy Chen,signedoffby jeffy chen,jeffy chen jeffychenrockchipscom,s21mountallsh fix oem,s21mountallsh support mtd,support mtd devices
Weixin Zhou,s50usbdevice add acm,add acm usb,acm usb configfs,usb configfs changeid,configfs changeid ibc7bd93282d4e7297540f1b2850087904d9fb6e0
jkand.huang,61partitioninitrules support for,support for mtd,for mtd changeid,mtd changeid i49860201369e277fb5795d701b737a85b2e4edb5,changeid i49860201369e277fb5795d701b737a85b2e4edb5 signedoffby
yuyongzhen,merge s21mountallsh support,s21mountallsh support mtd,support mtd devices,s21mountallsh support ubifs,support ubifs for
Hunter Young,renamed topic back,topic back to,back to default,,
KRealm Web Services,restarted from scratch,,,,
Ramazan Celep,automatically backed up,backed up by,up by learn,,
Christopher Jospeh Stryker,mvp and updates,and updates from,updates from ah,,
roboticslab,fine tunned red,tunned red autonomous,red autonomous to,autonomous to almost,to almost work
Anders Aamodt,of httpsgithubcomautonomousorganizationao into,httpsgithubcomautonomousorganizationao into p2pao,merge branch mobileexperience,branch mobileexperience of,mobileexperience of httpsgithubcomautonomousorganizationao
Guligena Aierken,merge pull request,pull request 20,request 20 from,20 from gaierkenhtml,from gaierkenhtml delete
Robbie Gay,read through hooks,merge pull request,pull request 3,request 3 from,3 from robbiegaydev
Peter Barker,autotest add test,add test for,test for accelerometer,for accelerometer pose,accelerometer pose calibration
byte[],fix channel creation,channel creation errors,,,
Cory Henderson,axios request for,request for rooms,send rooms to,rooms to front,to front end
Steven Zhu,automatically backed up,backed up by,up by learn,,
Michael Park,existing merge commits,git gud commit,gud commit now,commit now skips,now skips hooks
Flutterlice,fix for a,for a wrong,a wrong url,wrong url in,url in activity
akircher,fix woocommerce api,woocommerce api endpoint,,,
Sergei Gerasenko,ability to run,add ability to,to run rspec,run rspec on,rspec on specific
LambdAurora,construction wip of,wip of chording,of chording and,chording and next,and next release
Dwight Hubbard,merge pull request,pull request 16,request 16 from,16 from yahooci_cleanups,from yahooci_cleanups pep8
Michael Overmeyer,switched broken pypipin,broken pypipin badges,pypipin badges to,badges to shieldsio,
dhubbard,merging in yahoo,in yahoo changes,yahoo changes conflicts,changes conflicts readmerst,conflicts readmerst hostlists__init__py
Austin Gill,remove template placeholders,build benchmarks tests,benchmarks tests sharedstatic,tests sharedstatic libraries,parse hpp header
Kesav Kadalazhi,added more pipes,merge branch bettercode,,,
charlesdanner,merge pull request,pull request 33,request 33 from,33 from johncdevshawn2branch,from johncdevshawn2branch shawn2
John Carver,fixed regex on,regex on signup,on signup page,signup page added,page added fields
shawngway,merge pull request,pull request 35,request 35 from,35 from johncdevprofileclanaddedfields,from johncdevprofileclanaddedfields profile
ShawnG,thegrid custom images,custom images by,images by unknown,,
Kaylee,completed step 4,,,,
Thomas Roberts,renamed message variables,,,,
Jun Mark Torii,fix localized strings,localized strings and,strings and create,and create the,create the add
mobile-bungalow,mobile replies 87,replies 87 mobile,87 mobile replies,mobile replies but,replies but really
amoore2600,add files via,files via upload,,,
enpuyou,adding font color,font color to,color to the,to the message,change exception message
Ivan Shcheklein,prettify ts and,ts and tsx,and tsx according,tsx according to,according to the
AhmedOsama,add files via,files via upload,,,
davisc0801,finalize card layouts,card layouts and,layouts and breakpoints,,
Kent Roth,hooking up the,up the edit,the edit ticket,edit ticket page,
Joshua Gorospe,updated the robotframeworktestassistant,the robotframeworktestassistant package,,,
123d-com,add files via,files via upload,,,
Mariano de Deus,troka kor ba,kor ba tabela,,,
Christopher Lakey,tweaks to exec,to exec model,merge pull request,pull request 190,request 190 from
Mike King,style loginoutsignup forms,loginoutsignup forms navbar,forms navbar fix,navbar fix poking,fix poking around
Robert Cochran,sub udon for,udon for sora,for sora in,sora in 1231,in 1231 tidal
Alan Da Costa,update modelsmd fix,modelsmd fix typos,fix typos and,typos and improve,and improve some
Dan Frost,finished signin handler,root user reducer,user reducer and,reducer and store,
dokyan1989,finished bootcamp apis,,,,
batmanwgd,beginning of the,of the project,,,
Kyle Biggs,cleaning out wayland,,,,
Michael Sanders,add run shfmt,use bat as,bat as manpager,as manpager see,manpager see httpsgithubcomsharkdpbatman
mandeep489,delete capstone projectipynb,delete capstone projectpptx,,,
Pierre-Marie Pédrot,adapt wrt coqcoq11338,merge pull request,pull request 256,request 256 from,256 from ppedrotrmglobalusesevd
Kazeem Onisarotu,featureadd onboarding page,onboarding page added,page added onboarding,added onboarding page,onboarding page step
youssef muhamad,configure eslint and,eslint and prettier,and prettier to,prettier to automate,to automate styleguide
Bruno S Bertolani,add checkin module,checkin module update,module update routes,update routes models,routes models and
Yona Appletree,removed commented block,,,,
"Joe Garcia, CISSP",fix 83 split,83 split domain,split domain local,domain local queries,local queries for
7ma7X,up 2019 2020,,,,
MicrocosEm,add a readme,,,,
CoryBorek,merge branch master,branch master into,master into release,,
Zachary Rondos,xcode to your,to your github,create xcode_and_githubmd here,xcode_and_githubmd here is,here is my
andrew,refactored python_alias into,python_alias into shell_init,,,
Keks,heavy_check_mark сборка 7,,,,
CorneliaKelinske,working on the,on the saddle_points,the saddle_points exercise,saddle_points exercise just,exercise just trying
Ben Parli,update tokio 4,tokio 4 update,4 update tokioasync,update tokioasync fix,tokioasync fix config
Jeremy Evans,set things up,,,,
szabolaszlo,admin area security,,,,
Tommy Chiang,fix layout problem,,,,
Angel_Kitty,merge pull request,pull request 635,request 635 from,635 from otototmaster,from otototmaster fix
Rick Marry,fix endtime bug,endtime bug that,bug that causes,that causes the,causes the entire
Ivan Acosta-Rubio,tue dec 31,dec 31 185501,31 185501 cst,185501 cst 2019,
Conversation Learner Build,chorerelease publish v050114,publish v050114 skip,v050114 skip ci,update samples 276,samples 276 httpscirclecicomghmicrosoftconversationlearner276
buildmaster,sync docs from,docs from master,from master to,master to ghpages,
Jackie,merge pull request,the person class,add files via,files via upload,creating person class
Mina,add files via,files via upload,,,
Robert Brisita,adding run instructions,,,,
Alecia Vogel,for the host,add reducer for,reducer for the,refactor appjsx for,appjsx for the
Pieter Schutz,start of changes,cange to psty,add two new,two new vagabonds,switch to new
Eldinnie,merge pull request,pull request 6,request 6 from,6 from mcchewnewstuff,from mcchewnewstuff merge
nicktackes,with mkdocs version,mkdocs version 104,private trial added,trial added to,added to sdk
gccunanan,completed basic blog,basic blog app,,,
Charles_Kawczynski,fixclean some docs,,,,
bors[bot],ci skipskip ciskip,skipskip ciskip netlify,ciskip netlify borsstagingtmp194,merge 194 194,194 194 fixclean
Terence Chang,when computing end,computing end to,end to end,to end trip,end trip times
Alvaro,info aceites 2019,aceites 2019 mucha,2019 mucha informacion,mucha informacion sobre,informacion sobre aceites
Johnny Hu,add tags category,tags category impressions,,,
TylerSpaulding,adding user profile,user profile picture,profile picture usernames,,
Taylor Cooke,adding base files,,,,
Brad,merge pull request,merge branch master,branch master into,master into master,pull request 16
Eddie Gomez,to date with,update to date,date with brad,with brad dec,brad dec 30
Eddie Gómez,merge pull request,pull request 19,request 19 from,19 from bradicalonemaster,from bradicalonemaster oauth
Joe,fix links and,links and formatting,,,
Alrik Firl,adding other tower,other tower properties,tower properties and,properties and modifiers,
Alex Kwiatkowski,wip rename assetbalance,rename assetbalance struct,assetbalance struct account,rename assetbalancestore accountstore,update boot to
shredofpiece,reimplementing debug level,debug level including,level including smaller,including smaller ones,smaller ones and
Couchbase Build Team,couchbaseliteandroid 280 build,280 build 28036,build 28036 20191231,28036 20191231 165515,20191231 165515 pst
Anthony Mattson,added the project,the project url,project url to,url to the,to the readme
Tzung-Chien,add log in,log in snakefile,update cadd file,update pedia simulator,rename preprocesspy to
beginor,format app shared,import appshared module,,,
Adam Porter,docs add screenshots,docs how to,how to get,to get rules,
mrz1836,ability to customize,to customize the,customize the cookie,the cookie name,
jacob guin,markus wants code,,,,
HaNaK0,wrote game instead,game instead of,instead of engine,,
Roberto Abdelkader Martínez Pérez,entity base class,base class thread,class thread and,thread and queue,and queue logic
Vina Melody,merge pull request,pull request 8,request 8 from,8 from iosconfsgcreatefeedback,from iosconfsgcreatefeedback submit
jaredbucko,added promise to,promise to createpdf,to createpdf function,,
Seyhan Halil,first 2020 commit,2020 commit lul,commit lul wip,lul wip worked,wip worked on
Chenna Kautilya,added ol numbering,ol numbering in,numbering in telugu,,
Birger Evansson,merge pull request,pull request 243,request 243 from,243 from birgerevmultithreading,from birgerevmultithreading multithreading
Julian,automatically backed up,backed up by,up by learn,,
Per Bergland,add usetracker reactmeteordata,usetracker reactmeteordata 200,reactmeteordata 200 or,200 or later,or later 41318
AlCalzone,iobroker add getobjectlistasync,add getobjectlistasync to,getobjectlistasync to the,to the adapter,the adapter interface
Kevin Brown,added some field,some field config,field config options,config options 41203,
Rudi Chen,updates typings to,typings to update,to update 9,update 9 41102,
Honza Kalfus,improved type definitions,type definitions for,definitions for reactwidgets,for reactwidgets 41270,reactwidgets 41270 improved
Peter Matta,update reactnativezeroconf types,reactnativezeroconf types to,types to v011,to v011 41284,
Grimmer,add typepojotomixed to,typepojotomixed to mongoose,to mongoose schemaoptions,mongoose schemaoptions 41290,
pheromonez,google__mapsgooglemaps only allow,only allow calling,allow calling aspromise,calling aspromise if,aspromise if client
Matteo Frana,checkedchildren and uncheckedchildren,and uncheckedchildren are,uncheckedchildren are optional,are optional 41274,optional 41274 queryoptions
Thomas Sondergaard,argparse argumentoptionsmetavar can,argumentoptionsmetavar can be,can be an,be an array,an array 41283
alexander diaz,automatically backed up,backed up by,up by learn,,
Mulang Su,tried to fixed,to fixed a,fixed a draw,a draw method,draw method from
Dave Thomas,finalized testing and,testing and committed,and committed import_experts,committed import_experts to,import_experts to firestore
Lili-Mae Edwards,automatically backed up,backed up by,up by learn,,
Antonio Mata,recycle add engines,add engines required,engines required in,required in packagejson,
Natalie Tapias,letters collection takes,collection takes in,takes in an,in an array,an array of
Sen,844 leetcode problem,leetcode problem solved,,,
Delfio,correções nos index,nos index e,index e novas,e novas tabelas,novas tabelas e
Jessica Triana,automatically backed up,backed up by,up by learn,,
Lucas,zap transformed the,transformed the logger,the logger object,logger object into,object into a
neonexe,update and rename,and rename auto,rename auto data,auto data test,data test sheet1
Madeleine Malmsten,work in progress,,,,
Alessandro,fix wrong arguments,,,,
kimseonghyeon96,기초정보입력 다중 alert,다중 alert 수정,,,
imcoddy,update gitbook by,gitbook by travisci,by travisci with,travisci with build,with build 112
Joshua Studt,existing tests now,tests now passing,now passing proxyfactory,passing proxyfactory resolving,proxyfactory resolving extension
CarlLazarus,add branch text,branch text test,text test branching,test branching using,branching using readmemd
dev-yakuza,update day 10,,,,
Eddie,minimum cost connect,cost connect sticks,,,
kiwixz,add ide visual,ide visual studio,visual studio code,,
RevonZev,improve golden sword,golden sword pickup,sword pickup reset,pickup reset timer,
yaoye-docker,merge pull request,pull request 1,request 1 from,1 from yaoyedockerreadmeedits,from yaoyedockerreadmeedits readmeedits
Andrew Koebbe,rough eav implementation,added attribute types,attribute types added,types added more,added more fixtures
Sean Morris,recursive tests run,,,,
Brian Andress,add boot sector,boot sector fix,sector fix instructions,merge branch master,branch master of
SchizoDuckie,fix linux setup,linux setup and,setup and icon,and icon fixes,icon fixes 632
Garfield69,and add a,the progress bars,switching back to,back to primary,to primary loggr
Js41637 ftw,put torrentdialog checkboxes,torrentdialog checkboxes in,checkboxes in collapse,,
garfield69,events listeners and,listeners and publishers,and publishers as,publishers as at,as at v114
Connor Wong,trying to add,to add route,add route to,route to specfic,to specfic folders
brad vanderbush,started express session,express session authenticate,session authenticate adding,authenticate adding expresssession,adding expresssession mongoconnect
BartechSpaceship,fixed get call,,,,
Rahulnsharma45,adding media queries,,,,
hkw,update link to,link to sdetautomation,to sdetautomation and,sdetautomation and update,and update test
HITalexwang,add input_encoder for,input_encoder for easyfirstv2,,,
Hong Xu,add exception handling,async send implementation,add missing changes,move the code,the code accesses
Ben Holloway,refactor join function,,,,
alex-bul,add saving checkbox,,,,
Don McCaughey,change cevo to,cevo to cevox,to cevox in,cevox in the,in the help
nakaokagabriel,added functionality to,functionality to create,to create students,,
Nakaoka,merge pull request,pull request 22,request 22 from,22 from nakaokagabrielregisterstudent,from nakaokagabrielregisterstudent added
dk,merge branch develop,branch develop into,develop into dk,funding toolbar revise,branch develop of
MJ Studio,merge branch develop,branch develop of,develop of httpsgithubcomfunditofunditoandroid,of httpsgithubcomfunditofunditoandroid into,httpsgithubcomfunditofunditoandroid into develop
mika,esc key to,key to activate,to activate recent,activate recent grid,recent grid if
Sixtomaster,las listas compartidas,add files via,files via upload,via upload esta,upload esta es
MypDNS,skip ci commit,ci commit from,commit from ci,from ci runner,
Elliot Haisley,start e820 paging,,,,
dhrumpy,collecting the data,the data pertaining,data pertaining to,pertaining to the,to the keyword
Alex Forrence,first try cibuildwheel,maybe deal w,deal w linux,only run once,touchy as all
Brady Pascoe,chore remove uneeded,remove uneeded file,,,
Jerry Hong,polish for public,for public view,public view add,view add real,add real explanations
Nischal Hada,implemented quizbutton and,quizbutton and quizresult,merge pull request,pull request 2,request 2 from
Caesar Ladion,added catalog service,catalog service address,service address to,address to checkout,to checkout method
NUR-HADI-E41181216,menambahkan admin ke,admin ke simbafix,,,
Anthony Petre,add a deployment,a deployment stage,deployment stage to,stage to the,to the pipeline
Stephen Ibanez,updated nn inference,nn inference app,inference app and,app and test,and test to
Taishawn King,automatically backed up,backed up by,up by learn,,
Leandro Santos de Carvalho,algumas incompatibilidades de,incompatibilidades de versões,,,
Khan Baykaner,bugfix missing include,,,,
Yatzii,illidan change playmusic,change playmusic to,playmusic to correct,to correct id,
Orwill Towne,add podman support,podman support to,support to setupsh,,
Erik Wramner,merge pull request,changed wrong set,wrong set options,set options in,options in pflogsumm
Nick Pappas,master of githubcomtomavdockermailserver,merge branch master,branch master of,of githubcomtomavdockermailserver master,githubcomtomavdockermailserver master of
Michael Graeb,log tests use,tests use random,use random filenames,random filenames to,filenames to avoid
Alexander C,lets just do,just do it,do it ourselves,,
thutasein,add css website,,,,
ctrl-i,data for 20200101,updating the flight,the flight data,flight data for,updating the car
Izaak van Dongen,fix problem and,problem and add,and add foot,,
Peyton Sonnefeld,overflow scroll with,scroll with morty,with morty library,,
elbaro,update generatesh absolute,generatesh absolute path,absolute path for,path for aspects_dir,
Баранцев Степан,separated cli classes,cli classes into,classes into separate,into separate files,added cli_helper class
joanlb,ok 5am it,5am it works,it works for,works for real,small is a
Andrew Griswold,deleted react icon,,,,
Andy Crocker,add shadow listing,shadow listing view,,,
Josh Rolstad,adding ability to,ability to get,to get repositories,adding case insensitive,case insensitive search
Dannon,merge pull request,pull request 8813,request 8813 from,8813 from nerdinacancurrent_user_store,from nerdinacancurrent_user_store clientside
mvdbeek,dont use a,use a thread,a thread local,thread local toolshedrepositorycache,local toolshedrepositorycache this
Nicola Soranzo,1909 dont fail,dont fail container,fail container resolution,container resolution if,resolution if docker
guerler,in installation monitor,add monitor test,monitor test cases,test cases duplicate,cases duplicate removal
Björn Grüning,revert 1909 fix,1909 fix detached,fix detached parent,detached parent instance,parent instance error
Husen Lokhandwala Home,added table searchadmin,table searchadmin profile,searchadmin profile and,profile and issue,and issue book
hkamran490,sprites can be,can be rendered,removed syso statement,syso statement for,statement for stack
Sixeye,making redaction libre,redaction libre crud,,,
lzg,site updated 20200101,updated 20200101 085607,,,
Zevest,fixed issue and,issue and added,and added test,added test fixed,test fixed missing
matrayu,updated all route,all route code,route code to,code to be,to be more
Aditya Ekawade,organize associated gtr,associated gtr genes,,,
Garrett Henderson-Tjarks,get some stuff,some stuff on,stuff on the,on the ui,ui stuff for
Panzerhandschuh,full parse of,parse of coli,of coli file,coli file to,file to data
Chris Danis,revert block search,block search api,search api traffic,api traffic from,traffic from one
Adith Widya Pradipta,initial creation of,creation of layout,of layout component,layout component and,component and change
Ken Galliher,add check for,check for compress,for compress log,compress log table,
sajad1993gh,uploaded new resume,,,,
yshah43,add files via,files via upload,,,
MistleHC,junit тесты контролера,тесты контролера пользователя,,,
Tobi Ola,uploaded previous code,,,,
csimal,happy new year,,,,
hyago,tratamento de exeção,,,,
travis,built from commit,from commit bce5c64b3fdb726e9ba42f1b9bb09c17d350476a,,,
Manasa Vesala,validation with different,with different types,different types of,types of parentheses,
Elian Wonhalf,fixed a couple,a couple bugs,couple bugs with,bugs with the,with the new
Matthew J. Hughes,began building out,building out html,out html templates,html templates and,templates and hooked
David Wendt,add a convenience,a convenience method,convenience method xmlnodeinto_string,add test for,test for xmlparsexml
Gabriel Woitechen,chore set gits,set gits coreignorecase,gits coreignorecase to,coreignorecase to false,
markcruse,add showhide continue,showhide continue button,,,
ephellon,update packages and,packages and urls,,,
Oleg Agafonov,images fixed wrong,fixed wrong images,wrong images download,images download for,download for 6ed
zooduck,use daylight hours,daylight hours to,hours to get,to get average,get average rating
FlightlessMango,add windows vulkan,windows vulkan for,vulkan for stats,for stats table,
George Alan,inicio do desafio,do desafio final,desafio final da,final da semana,da semana 6
ermiry,added base web,base web cerver,web cerver example,,
nice0001-angelo,legacy html delete,,,,
Derek Shigetomi,added tilt effect,tilt effect to,effect to about,to about me,about me image
Jason Nelson,remove lazy class,,,,
maciacco,add configuration file,configuration file add,file add resolution,add resolution histograms,
Jeffrey Davis,removed the contact,the contact page,,,
hunter-heidenreich,add more counts,more counts and,counts and hashing,and hashing of,hashing of bills
wahidibrahimy,my project is,project is ready,,,
Bhagavandas,nordic fixdisconnect wait,fixdisconnect wait logic,,,
Ryan Davis,signedoffby ryan davis,ryan davis zenspiderchefio,metaprogramming from controlevalcontext,methods look like,all metaprogramming from
PikalaxALT,consumerest in markov,in markov command,fast cog loadreload,cog loadreload commands,
Dylan K,merge pull request,pull request 8,request 8 from,8 from dmkitehomeimage,from dmkitehomeimage add
ibercovich,new public as,public as root,,,
codeHusky,rc2 fixes duped,fixes duped keys,duped keys being,keys being allowed,
Kasaract,add error page,error page structure,add about page,,
Corey Farrell,feat support native,support native esm,,,
rricher,this was done,,,,
Brandon Ebersohl,added collapse functionality,collapse functionality to,functionality to panels,,
Jerad Maplethorpe,merge pull request,pull request 19,request 19 from,19 from bebersohlexpandpanel,from bebersohlexpandpanel 7
daniel-farkas-dev,rename input to,input to inputhtml,,,
Brad Heffernan,updated calamares config,,,,
Lenin Alevski,kesfixes fix duplicated,fix duplicated volume,duplicated volume names,volume names when,names when mounting
Mark Rousskov,also store public,store public key,public key locally,,
jeffrey d johnson,added to readme,changed setup moved,setup moved file,moved file untested,
Zachary Yedidia,bracketed paste support,,,,
Bennie Chen,set theme jekyllthememinimal,,,,
Wink Saville,add support for,support for csv,for csv header,csv header row,header row track_pointpy
Hawken Rives,begin reworking dpserver,reworking dpserver to,dpserver to share,to share a,share a connection
zachhildreth,invalid previous block,previous block hash,removed checking for,checking for invalid,for invalid previous
ebisuke,merge pull request,pull request 138,request 138 from,138 from ebisukedevelop,from ebisukedevelop 説明追加
Luã Falcão,included user logged,user logged menu,,,
Anderson de Paula Andrade Medeiros,correções formulário cadastro,formulário cadastro candidato,,,
Andreas Duschl,update header info,,,,
Victor Wiebe,test outstanding untested,outstanding untested lines,,,
Vikram B Rojo,add twitter meta,twitter meta 5,meta 5 add,5 add twitter,twitter meta add
Bill Zissimopoulos,build bump version,bump version to,version to 20193,to 20193 gold,update changelog for
Beau Sherman,update rates and,rates and gallery,merge branch master,branch master of,master of httpsgithubcom83aunicoles3dvirtualtours
Stefan,update gnucash from,gnucash from 38b1,from 38b1 to,38b1 to 38b2,to 38b2 74960
Théo Zimmermann,refman add missing,add missing s,missing s cherry,s cherry picked,cherry picked from
Shruti,um idk new,idk new constants,merge branch master,branch master of,master of httpsgithubcominspirationroboticsinspiration_ftc
Kadeem Jackson,merge branch master,branch master of,master of httpsgithubcomcro5saaclasswork,,
Gustavo Aguiar,fin de año,,,,
João Victor Ramires Guimarães Brito,feature add routing,feature add navbar,add navbar component,feature add login,add login form
Nils Uliczka,debug output port,output port as,port as well,,
Dave Kelly,added the ability,the ability to,ability to specify,to specify multiple,specify multiple values
t1una,update env update,,,,
Benoit Goudreault-Emond,merge remotetracking branch,remotetracking branch lory90master,,,
Daniel Lazur,automatically backed up,backed up by,up by learn,,
sparklyballs,push back versiontxt,,,,
B-Seite,add hoobs accessory,hoobs accessory configfile,accessory configfile fix,configfile fix json,fix json error
Hac,reskin 2nd pass,2nd pass updates,pass updates to,updates to css,to css buttons
Lewis Kwong,player information working,information working now,,,
Dicky Herlambang,circleci unified test,unified test lto,test lto 2,lto 2 signedoffby,2 signedoffby dicky
Tony Morales,uiviewishidden must be,must be used,be used from,used from main,from main thread
Karn Kaul,wip add _glibcxx_debug,add _glibcxx_debug for,_glibcxx_debug for linux,for linux debug,linux debug builds
Brad Anderson,nav mesh generation,prevents a nav,a nav mesh,nav mesh link,mesh link from
Trent Ellingsen,added a trade,a trade thursday,trade thursday post,,
GloriousEggroll,finally fixed to,fixed to compile,to compile properly,compile properly with,properly with protons
Emilio,article border i,border i added,i added the,added the border,the border to
Dmitri,updated packagejson and,packagejson and packagelock,,,
voluble-system-8062,automatically backed up,backed up by,up by learn,,
karleee,finished phase 5,,,,
Tianyue-Zhao,added files to,files to be,to be customized,reomoved home navbar,added profile picture
Steve B,created random select,random select func,select func for,func for options,for options array
neotsn neotsn,updates from 328,template updates from,control panel template,panel template updates,remove untouched theme
srmward,abandon yir article,,,,
Sara,added human inputoutput,human inputoutput story,,,
azaelthecrak,menu redes sociales,redes sociales je,sociales je je,,
Bental Tagor,implementing the merging,the merging intervals,merging intervals problem,,
Nick Mcco,add another faq,,,,
tsugehara,merge pull request,pull request 9,request 9 from,9 from shinonomekazanir2019_3q_201910_201912,from shinonomekazanir2019_3q_201910_201912 第3四半期の決算書を追加
Michael Jackson,updating itkimageprocessing submodule,itkimageprocessing submodule signedoffby,submodule signedoffby michael,signedoffby michael jackson,michael jackson mikejacksonbluequartznet
Rob Culliton,greetings because feedback,because feedback is,feedback is important,,
Chandler King,added an organization,an organization post,organization post route,,
egconley,data transfer with,transfer with updates,with updates to,updates to hd_dosing,to hd_dosing table
SMC Management Task,auto publish 20200101,publish 20200101 0057300000,publish 20200101 0057420000,,
Ethan Teague,theming home page,home page and,page and footer,,
VitorMac10,new authenticationregistration method,,,,
Justin Huang,add interim version,interim version of,version of bite,of bite 31,bite 31 matmulpy
esayson,add files via,files via upload,,,
Fred Hornsey,add cmake commands,cmake commands to,commands to docsautobuildtxt,fix indenting on,indenting on run_command
maxbachmann,deploying to ghpages,to ghpages from,ghpages from ghpages,from ghpages 019f00f2fd90de937e681b51e20d072e85e41aac,
Jessica Bainbridge-Smith,cassandra seeding complete,,,,
yufeng04,fix bug 11610,bug 11610 pagination,11610 pagination disappear,,
pissang,fixmap fix slice,fix slice is,slice is not,is not defined,not defined error
Yi Shen,merge pull request,pull request 11952,request 11952 from,11952 from apachefix11610,from apachefix11610 fix
tkeffer@gmail.com,changed default unit,default unit labels,unit labels to,labels to something,to something closer
Penguin-Guru,misc and more,and more proper,more proper fixes,proper fixes for,fixes for remote
tatcjho,create listo de,listo de medicamento,,,
DAVID SHIN,automatically backed up,backed up by,up by learn,,
Naim Sulejmani,pit polygon and,polygon and point,,,
David,updated header links,,,,
Gabriel Schulhof,remove static cast,static cast in,cast in constructor,,
Perelandra0x309,update install pages,,,,
Jason Seidler,added use of,use of routes,of routes for,routes for curl,commented out unused
James Upjohn,initialize gradle project,,,,
davidclifford,wktlife for vga,,,,
William Mack,resolved keybind conflict,,,,
botdevXD,add files via,files via upload,,,
ed,created book controller,,,,
jadcoinc,merge pull request,pull request 7,request 7 from,7 from jadcoincsection2lesson22,from jadcoincsection2lesson22 created
xuri,add docs for,docs for 3d,for 3d cone,3d cone series,cone series column
zhaoshenglong,add reg alloc,,,,
bartmika,member archive gui,archive gui implemented,,,
Ben V. Brown,add fa prep,fa prep time,,,
Silvan Mosberger,readd stateversions were,stateversions were left,were left out,left out from,out from the
Travis Builder,deployed 9ac280c8e with,9ac280c8e with mkdocs,with mkdocs version,mkdocs version 104,
Tianwei Ni,move pyb log,pyb log legacy,,,
algol60,glyphs cope with,cope with text,with text that,text that is,that is too
David Liman,solved the extra,the extra space,extra space navigation,space navigation bar,handle each p
Tonus1,delete clerksqf cleanup,,,,
Ryan Mullett,modify file_find to,file_find to find,to find all,find all files,all files from
Harold Carr,more tests and,tests and cleanup,,,
Yuma Y,erase unnecessary file,,,,
kuma lawrence shing,added files via,files via upload,,,
Nick O'Neill,updated footer test,some additional netlify,additional netlify config,,
FosterSamuel,update draft of,draft of teaching,,,
Irfan Baqui,merge branch master,branch master of,master of githubcomsapphiresafiyaashishenterprise,,
Welbert Hime,fazendo ajustes para,ajustes para testbench,,,
mligor,added battery percentage,battery percentage for,percentage for thermostat,,
gabriel-chen,merge changes on,changes on adding,on adding new,adding new members,
Florian Seidl -Schulz,version0659 satellites work,satellites work now,work now and,now and can,and can shoot
Matthew,fix text build,text build artefact,,,
Minjie Zhu,update blog and,blog and clothing,,,
Benjamin Rogge,adding search builder,search builder class,adding search query,search query dsl,
Arindam Nayak,signedoffby arindam nayak,arindam nayak arindamnayakoutlookcom,test signedoffby arindam,backup test signedoffby,backup test for
deepthi,signedoffby deepthi deepthiplanetscalecom,include go in,go in unit_test_race,in unit_test_race instead,unit_test_race instead of
Morgan Tocker,merge pull request,signedoffby morgan tocker,morgan tocker tockergmailcom,pull request 5629,request 5629 from
Deepthi Sigireddi,merge pull request,pull request 5619,request 5619 from,5619 from planetscaletal_backup_test,from planetscaletal_backup_test converted
George McGuire,added color levels,color levels on,levels on earthquake,on earthquake map,
Scott Lahteine,update readme with,readme with status,with status badge,status badge etc,split up hal
liminghuang,merge remotetracking branch,remotetracking branch marlinbugfix20x,branch marlinbugfix20x into,marlinbugfix20x into privbugfix20x,
rrampen,add files and,files and trees,and trees client,trees client 77,client 77 coauthoredby
Viraf Karai,ce47 now handling,now handling gzipped,handling gzipped files,,
Kevin McGrevey,correct worst_fans_team_id and,worst_fans_team_id and test,and test to,test to return,to return expected
Shannon Lichtenwalter,work on guess,on guess endpoint,,,
Dan Pollak,chore standardize default,standardize default parameter,default parameter setup,,
Jesse Young,added documentation for,documentation for waittimestats,,,
Daniel Azuma,use googleclouderrors instead,googleclouderrors instead of,instead of googlecloudcore,,
Ryan Senanayake,fix bug where,bug where iterators,where iterators in,iterators in position,in position space
Christopher M. Cantalupo,signedoffby christopher m,christopher m cantalupo,m cantalupo christophermcantalupointelcom,add piping to,piping to delegate
Stackage Build host,checking in nightly20200101,,,,
Leonel Chaves,creacion de etiqueta,creacion de input,creacion de indexhtml,creacion de formulario,de etiqueta nombre
Ryuhouji,added macro for,macro for dynamic,for dynamic double,dynamic double wild,double wild mons
